id,inhabitant per km^2
3784,18.31
6800,461.84
745,1434.57
6154,272.14
5214,1018.87
3561,18.39
5725,668.16
5078,25.1
2831,1485.7
6634,1136.31
5759,30.63
5015,37.57
6635,146.61
2221,175.48
5589,5488.53
5566,12.05
5643,2858.15
2038,35.52
5683,94.51
5607,124.74
5590,3011.34
6636,803.41
5216,460.19
450,80.69
3295,46.1
5079,13.97
309,85.26
67,405.13
1037,269.64
2832,310.67
2963,101.93
5760,46.75
6287,8.19
6244,266.13
4846,51.5
310,118.94
3340,1209.45
6199,62.95
1212,1.81
6720,46.98
3255,1032.87
715,12.11
2530,548.35
2301,146.99
6075,10.57
703,283.94
95,196.64
96,1232.74
3034,257.53
567,28.22
1345,294.91
1140,258.27
2893,173.59
4141,858.45
2773,2704.73
336,95.43
4281,215.03
4315,316.99
2333,177.25
4039,527.39
4110,133.25
441,71.05
5591,6960.0
5412,379.64
3035,140.37
767,87.77
5644,315.79
38,147.93
3235,1498.19
4258,817.28
3723,107.3
2148,305.4
138,1747.95
2857,206.57
1097,270.97
2582,300.0
4751,1776.92
225,428.71
6139,124.8
2276,144.65
6008,42.95
6181,23.71
2554,317.92
2703,1894.7
1369,7.97
4316,188.04
12,160.88
879,81.92
590,304.35
4111,311.16
3536,5.41
1707,692.12
5263,439.97
5609,1210.0
5413,238.53
6413,53.69
704,23.65
6803,34.74
2479,251.32
2790,42.11
1142,106.1
337,502.17
4431,247.86
2498,41.78
338,348.03
339,60.8
5861,2245.22
5761,75.9
5592,1149.66
5645,271.01
4436,1235.75
442,27.86
2096,476.33
1007,18.12
5125,124.8
3711,28.92
1065,546.06
5798,84.97
68,614.8
3215,5205.08
3216,1010.36
3808,2.49
6721,309.28
5684,60.75
2222,264.36
5842,24.32
3637,97.74
1040,472.68
2858,71.23
1370,100.96
4282,737.72
4238,180.72
5843,18.27
3834,64.75
5219,147.56
5928,55.17
623,417.74
4075,898.57
2097,131.05
5534,133.84
2039,136.71
421,33.87
987,90.89
4206,836.42
178,300.49
6637,109.09
2040,58.22
1098,151.0
1039,102.46
2791,183.4
904,32.76
905,135.91
2938,133.33
420,901.48
880,50.95
956,212.69
4112,207.18
4317,99.32
97,623.84
881,93.76
2859,170.04
2860,155.82
853,27.97
139,1942.81
3103,86.23
3256,241.43
118,1195.14
393,129.08
422,129.55
340,143.11
2555,171.25
3788,5.05
843,57.38
3883,27.25
6288,3.54
6289,12.21
6290,39.96
6291,42.43
1406,94.06
4283,612.6
3672,5.92
746,346.54
3581,99.14
706,43.99
6757,79.87
6140,181.36
2041,210.0
6414,326.27
5535,189.37
6459,369.82
6758,15.53
5727,100.66
5434,77.53
6155,63.47
443,244.51
5435,88.02
5888,332.94
6246,587.82
2335,105.94
6087,23.67
6217,300.47
5436,113.82
5646,1018.73
5610,441.38
5648,2145.05
5568,121.67
4851,197.23
6113,128.96
4441,534.22
3538,6.59
6218,25.05
2277,154.43
3786,26.28
3752,13.76
3835,34.79
5017,368.09
5018,7.12
3810,10.94
3296,636.22
4076,338.65
1407,139.83
5686,55.17
6638,217.03
1371,111.55
5437,106.22
449,60.13
6722,33.12
707,37.32
5611,208.09
6265,103.94
3539,44.8
5221,3024.32
591,5.06
6141,238.23
2939,857.55
4207,467.45
906,24.77
3638,57.35
1213,309.83
786,18.36
708,6.86
1099,405.76
4113,194.89
747,213.81
3962,42.8
4125,181.7
4114,668.78
4546,106.79
226,81.46
3104,61.98
98,127.79
2952,78.72
1100,113.28
247,2821.25
4142,112.95
624,181.27
3582,128.07
3338,907.92
4143,135.51
2305,298.15
3514,21.38
4318,161.35
2461,148.26
1041,81.22
4259,109.13
4176,241.58
748,159.47
592,83.55
1066,43.46
855,152.97
341,133.6
3004,88.04
3105,37.56
937,158.94
197,1880.08
1372,279.28
3315,94.33
99,349.87
4144,681.45
140,169.15
2774,1032.33
3003,100.58
2583,1302.94
4756,74.47
1143,271.93
1346,310.43
311,187.83
1008,107.84
3762,10.69
988,89.23
312,143.36
1214,116.88
119,379.84
709,8.1
1215,51.92
4208,393.56
2480,62.36
3972,28.02
883,566.92
2833,371.59
2556,169.54
6035,55.72
5019,376.53
1102,464.69
2336,48.11
5499,113.99
3274,126.68
2225,312.0
4209,510.74
5762,97.28
5050,21.4
5799,303.02
5222,247.18
227,948.82
3275,159.23
2953,89.58
6248,869.3
4319,115.01
907,121.93
5728,263.54
938,85.39
1216,14.56
3640,99.36
3789,11.98
3790,24.29
6009,3.5
4239,209.58
6266,1128.86
4761,616.88
499,104.7
1217,23.2
2861,745.83
4177,598.84
2099,110.55
3823,7.48
5081,12.05
2601,2657.71
4446,125.3
444,128.75
5129,2.42
445,52.88
6639,256.31
5225,2243.68
2153,125.63
711,40.94
6759,9.79
6724,64.76
3023,513.28
768,744.33
1218,13.07
3694,6.34
4040,1303.82
2302,119.53
3893,6.34
3203,1920.73
3236,844.31
3787,176.52
6292,25.65
2303,135.63
793,22.02
2304,83.02
5266,748.14
100,170.99
4284,121.01
6293,104.77
6294,38.46
13,287.68
1509,744.91
1510,480.96
2584,923.91
4210,836.75
4864,424.86
939,1166.1
6204,110.7
4260,1116.01
3005,149.57
2964,580.38
3217,780.27
1373,279.49
1374,132.95
1708,1893.45
101,358.5
4041,481.76
2919,281.36
4606,184.47
358,887.04
770,69.44
