commune,total_inhabitants,percentage_18,percentage_40,percentage_65,percentage_100,percentage_men,percentage_swiss
Chapelle (Glâne),262,0.24,0.27,0.37,0.12,0.5,0.89
Chardonne,2821,0.17,0.23,0.39,0.21,0.48,0.75
Charrat,1552,0.22,0.31,0.35,0.12,0.52,0.7
Chavannes-de-Bogis,1210,0.23,0.27,0.38,0.12,0.48,0.6
Chavannes-des-Bois,823,0.27,0.26,0.37,0.09,0.5,0.57
Chavannes-le-Chêne,275,0.22,0.29,0.31,0.18,0.49,0.94
Chavannes-le-Veyron,129,0.21,0.34,0.36,0.09,0.47,0.84
Chavannes-près-Renens,7193,0.22,0.38,0.28,0.12,0.51,0.49
Chavannes-sur-Moudon,238,0.25,0.24,0.32,0.19,0.46,0.89
Chavornay,3967,0.24,0.33,0.34,0.1,0.51,0.74
Cheiry,371,0.2,0.27,0.37,0.16,0.5,0.91
Chermignon,3055,0.15,0.25,0.37,0.23,0.51,0.72
Chesalles-sur-Moudon,153,0.16,0.31,0.34,0.19,0.47,0.95
Cheseaux-Noréaz,667,0.24,0.2,0.37,0.19,0.53,0.87
Cheseaux-sur-Lausanne,4035,0.21,0.32,0.35,0.12,0.5,0.77
Chessel,351,0.23,0.26,0.37,0.15,0.52,0.88
Chevilly,248,0.25,0.25,0.38,0.12,0.46,0.92
Chevroux,406,0.2,0.21,0.39,0.19,0.51,0.9
Chexbres,2101,0.18,0.25,0.34,0.24,0.46,0.79
Cheyres,1338,0.21,0.26,0.35,0.18,0.51,0.89
Chiasso,8067,0.14,0.24,0.36,0.25,0.48,0.6
Chigny,338,0.21,0.26,0.42,0.11,0.5,0.74
Chippis,1660,0.2,0.28,0.34,0.17,0.52,0.55
Choulex,1055,0.22,0.24,0.37,0.18,0.46,0.76
Chur,34344,0.15,0.3,0.36,0.2,0.48,0.81
Churwalden,2062,0.15,0.3,0.37,0.17,0.52,0.8
